geneid,gene_symbol,uniprotid,gene_dsi,gene_dpi,gene_pli,protein_class,protein_class_name,diseaseid,disease_name,disease_class,disease_class_name,disease_type,disease_semantic_type,score,ei,el,year_initial,year_final,source
6584,SLC22A5,O76082,0.608,0.731,5.2651e-16,DTO_05007405,Transporter,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,0.912,,2003.0,2016.0,ALL
7124,TNF,P01375,0.231,0.962,0.8033,DTO_05007599,Signaling,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.4,0.95,,1996.0,2020.0,ALL
3717,JAK2,O60674,0.385,0.885,0.65372,DTO_03300101,Kinase,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.39,1.0,,2009.0,2018.0,ALL
999,CDH1,P12830,0.401,0.808,0.14631,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.39,1.0,,1997.0,2015.0,ALL
1893,ECM1,Q16610,0.576,0.731,4.6627e-14,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.38,0.875,,2008.0,2017.0,ALL
3952,LEP,P41159,0.349,0.846,0.46491,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.38,1.0,,2006.0,2019.0,ALL
3172,HNF4A,P41235,0.461,0.808,0.15285,DTO_00102000,Nuclear receptor,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.37,1.0,,2009.0,2019.0,ALL
5970,RELA,Q04206,0.406,0.885,0.99948,DTO_05007542,Transcription factor,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.37,1.0,,1998.0,2020.0,ALL
3479,IGF1,P05019,0.318,0.885,0.2716,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.37,1.0,,2001.0,2018.0,ALL
54106,TLR9,Q9NR96,0.411,0.885,9.8117e-06,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.37,1.0,,2004.0,2018.0,ALL
6347,CCL2,P13500,0.321,0.962,0.60786,DTO_05007599,Signaling,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.36,1.0,,1995.0,2016.0,ALL
1235,CCR6,P51684,0.485,0.808,0.0057867,DTO_02300001,G-protein coupled receptor,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.35,1.0,,2005.0,2019.0,ALL
6556,SLC11A1,P49279,0.525,0.846,1.5485e-19,DTO_05007405,Transporter,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.34,1.0,,1999.0,2016.0,ALL
94103,ORMDL3,Q8N138,0.666,0.423,0.78329,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.34,1.0,,2010.0,2018.0,ALL
4524,MTHFR,P42898,0.337,0.885,3.2068e-10,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.34,1.0,,2007.0,2016.0,ALL
1811,SLC26A3,P40879,0.554,0.692,1.3699e-13,DTO_05007405,Transporter,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.33,1.0,,2002.0,2018.0,ALL
3912,LAMB1,P07942,0.615,0.654,5.0687e-22,DTO_05007584,Enzyme modulator,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.33,1.0,,2009.0,2015.0,ALL
2335,FN1,P02751,0.365,0.962,0.0014045,DTO_05007599,Signaling,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.33,1.0,,2007.0,2010.0,ALL
339145,FAM92B,Q6ZTR7,0.839,0.038,4.7704e-10,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.33,0.5,,2007.0,2012.0,ALL
4583,MUC2,Q02817,0.486,0.808,9.433e-10,DTO_05007584,Enzyme modulator,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.33,1.0,,1999.0,2006.0,ALL
8929,PHOX2B,Q99453,0.565,0.731,0.93755,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.33,1.0,,2007.0,2011.0,ALL
9370,ADIPOQ,Q15848,0.376,0.885,4.6434e-09,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.33,1.0,,2006.0,2018.0,ALL
64127,NOD2,Q9HC29,0.423,0.923,1.9834e-30,DTO_05007624,Enzyme,C0267380,Crohn's disease of the ileum,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.33,1.0,,2001.0,2014.0,ALL
7124,TNF,P01375,0.231,0.962,0.8033,DTO_05007599,Signaling,C0267380,Crohn's disease of the ileum,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.33,1.0,,2000.0,2016.0,ALL
10109,ARPC2,O15144,0.769,0.308,0.99769,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.32,1.0,,2008.0,2010.0,ALL
23308,ICOSLG,O75144,0.601,0.654,0.00035482,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.32,1.0,,2010.0,2012.0,ALL
3587,IL10RA,Q13651,0.579,0.692,0.017808,DTO_05007575,Receptor,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.32,1.0,strong,2009.0,2017.0,ALL
7850,IL1R2,P27930,0.593,0.846,6.5372e-15,DTO_05007575,Receptor,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.32,1.0,,2011.0,2018.0,ALL
8767,RIPK2,O43353,0.587,0.769,0.39282,DTO_03300101,Kinase,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.32,1.0,,2010.0,2020.0,ALL
8877,SPHK1,Q9NYA1,0.48,0.808,3.0327e-07,DTO_03300101,Kinase,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.32,1.0,,2013.0,2020.0,ALL
8924,HERC2,O95714,0.568,0.692,1.0,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.32,1.0,,2008.0,2010.0,ALL
117289,TAGAP,Q8N103,0.7,0.462,0.84621,DTO_05007584,Enzyme modulator,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.32,1.0,,2010.0,2014.0,ALL
3586,IL10,P22301,0.281,0.923,0.0058874,,,C0156147,Crohn's disease of large bowel,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.32,1.0,,2005.0,2010.0,ALL
4689,NCF4,Q15080,0.644,0.615,9.0248e-08,,,C0156147,Crohn's disease of large bowel,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.32,1.0,,2007.0,2019.0,ALL
9971,NR1H4,Q96RI1,0.513,0.808,0.00093892,DTO_00102000,Nuclear receptor,C0156147,Crohn's disease of large bowel,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.32,1.0,,2011.0,2012.0,ALL
1670,DEFA5,Q01523,0.695,0.423,5.1896e-06,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,,2010.0,2017.0,ALL
23046,KIF21B,O75037,0.805,0.192,1.7695e-06,DTO_05007530,Cellular structure,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,,2010.0,2015.0,ALL
3579,CXCR2,P25025,0.445,0.923,0.013736,DTO_02300001,G-protein coupled receptor,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,,1997.0,2011.0,ALL
3588,IL10RB,Q08334,0.636,0.577,2.5103e-06,DTO_05007575,Receptor,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,strong,2011.0,2013.0,ALL
836,CASP3,P42574,0.351,0.923,0.10017,DTO_05007624,Enzyme,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,,2013.0,2015.0,ALL
8624,PSMG1,O95456,0.579,0.731,0.00034234,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,,2010.0,2011.0,ALL
8807,IL18RAP,O95256,0.674,0.577,0.0021796,DTO_05007575,Receptor,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,,2008.0,2010.0,ALL
2358,FPR2,P25090,0.547,0.769,0.40137,DTO_02300001,G-protein coupled receptor,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,,2011.0,2011.0,ALL
6932,TCF7,P36402,0.556,0.654,0.0053732,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,,2014.0,2014.0,ALL
1401,CRP,P02741,0.299,0.962,0.0036969,,,C0156147,Crohn's disease of large bowel,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,,2001.0,2019.0,ALL
2524,FUT2,Q10981,0.552,0.731,5.3218e-14,DTO_05007624,Enzyme,C0156147,Crohn's disease of large bowel,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,,2010.0,2011.0,ALL
3123,HLA-DRB1,P01911,0.333,0.923,0.0010997,DTO_05007608,Immune response,C0156147,Crohn's disease of large bowel,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,,2004.0,2015.0,ALL
64127,NOD2,Q9HC29,0.423,0.923,1.9834e-30,DTO_05007624,Enzyme,C0156147,Crohn's disease of large bowel,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,,2001.0,2010.0,ALL
1401,CRP,P02741,0.299,0.962,0.0036969,,,C0267380,Crohn's disease of the ileum,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,,2001.0,2008.0,ALL
2524,FUT2,Q10981,0.552,0.731,5.3218e-14,DTO_05007624,Enzyme,C0267380,Crohn's disease of the ileum,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,,2010.0,2014.0,ALL
55054,ATG16L1,Q676U5,0.543,0.769,0.96452,,,C0267380,Crohn's disease of the ileum,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.31,1.0,,2007.0,2014.0,ALL
10320,IKZF1,Q13422,0.533,0.769,0.9986,DTO_05007542,Transcription factor,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2010.0,2010.0,ALL
1671,DEFA6,Q01524,0.792,0.115,4.2537e-06,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2010.0,2010.0,ALL
3577,CXCR1,P25024,0.508,0.769,3.0337e-07,DTO_02300001,G-protein coupled receptor,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2011.0,2011.0,ALL
4046,LSP1,P33241,0.7,0.462,1.472e-06,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2011.0,2011.0,ALL
4057,LTF,P02788,0.543,0.846,1.2665e-21,DTO_05007624,Enzyme,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2006.0,2006.0,ALL
51738,GHRL,Q9UBU3,0.517,0.769,1.3921e-11,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2009.0,2009.0,ALL
5743,PTGS2,P35354,0.314,0.962,0.99597,DTO_05007624,Enzyme,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,1998.0,2019.0,ALL
7412,VCAM1,P19320,0.422,0.808,0.79791,,,C0009324,Ulcerative Colitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2004.0,2004.0,ALL
151306,GPBAR1,Q8TDU6,0.548,0.731,1.3633e-09,DTO_02300001,G-protein coupled receptor,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2013.0,2013.0,ALL
5465,PPARA,Q07869,0.432,0.885,0.030182,DTO_00102000,Nuclear receptor,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2011.0,2011.0,ALL
7448,VTN,P04004,0.509,0.769,1.5014e-10,,,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2010.0,2010.0,ALL
9971,NR1H4,Q96RI1,0.513,0.808,0.00093892,DTO_00102000,Nuclear receptor,C0010346,Crohn Disease,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2011.0,2011.0,ALL
114548,NLRP3,Q96P20,0.361,0.962,0.00081103,,,C0156147,Crohn's disease of large bowel,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2009.0,2009.0,ALL
117289,TAGAP,Q8N103,0.7,0.462,0.84621,DTO_05007584,Enzyme modulator,C0156147,Crohn's disease of large bowel,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2010.0,2010.0,ALL
149233,IL23R,Q5VWK5,0.466,0.769,0.00055961,DTO_05007599,Signaling,C0156147,Crohn's disease of large bowel,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2007.0,2008.0,ALL
151306,GPBAR1,Q8TDU6,0.548,0.731,1.3633e-09,DTO_02300001,G-protein coupled receptor,C0156147,Crohn's disease of large bowel,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2013.0,2013.0,ALL
159296,NKX2-3,Q8TAU0,0.716,0.231,0.95047,DTO_05007542,Transcription factor,C0156147,Crohn's disease of large bowel,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2007.0,2008.0,ALL
163486,DENND1B,Q6P3S1,0.716,0.308,0.20408,,,C0156147,Crohn's disease of large bowel,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2010.0,2010.0,ALL
1788,DNMT3A,Q9Y6K1,0.445,0.846,7.3538e-39,,,C0156147,Crohn's disease of large bowel,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.3,1.0,,2010.0,2010.0,ALL
